"Time (s) Run #2";"Magnetic Field Strength (1X) (T) Run #2";"Magnetic Field Strength (10X) (T) Run #2";"Magnetic Field Strength (100X) (T) Run #2"
0.000;-8E-6;-8E-7;-7.8E-8
0.100;-6E-6;-6E-7;-6.1E-8
0.200;-2E-6;-2E-7;-1.8E-8
0.300;-1E-6;-1E-7;-1.3E-8
0.400;-6E-6;-6E-7;-5.7E-8
0.500;-4E-6;-4E-7;-4.4E-8
0.600;-5E-6;-5E-7;-5.4E-8
0.700;-8E-6;-8E-7;-8.4E-8
0.800;-4E-6;-4E-7;-3.6E-8
0.900;-5E-6;-5E-7;-5.1E-8
1.000;-9E-6;-9E-7;-9.3E-8
1.100;-1E-5;-1E-6;-1.1E-7
1.200;-1E-5;-1E-6;-1.5E-7
1.300;-2E-5;-2E-6;-1.8E-7
1.400;-2E-5;-2E-6;-1.6E-7
1.500;-1E-5;-1E-6;-1.4E-7
1.600;-2E-5;-2E-6;-1.5E-7
1.700;-1E-5;-1E-6;-1.4E-7
1.800;-1E-5;-1E-6;-1.3E-7
1.900;-8E-6;-8E-7;-7.5E-8
2.000;-6E-6;-6E-7;-6.2E-8
2.100;-9E-6;-9E-7;-9.0E-8
2.200;-9E-6;-9E-7;-8.9E-8
2.300;-7E-6;-7E-7;-7.5E-8
2.400;-1E-5;-1E-6;-9.9E-8
2.500;-2E-5;-2E-6;-1.8E-7
2.600;-2E-5;-2E-6;-1.6E-7
2.700;-1E-5;-1E-6;-1.2E-7
2.800;-2E-5;-2E-6;-1.6E-7
2.900;-1E-5;-1E-6;-1.3E-7
3.000;-1E-5;-1E-6;-1.0E-7
3.100;-2E-5;-2E-6;-1.7E-7
3.200;-1E-5;-1E-6;-1.3E-7
3.300;-2E-5;-2E-6;-1.6E-7
3.400;-1E-5;-1E-6;-1.3E-7
3.500;-1E-5;-1E-6;-1.1E-7
3.600;-1E-5;-1E-6;-1.1E-7
3.700;-1E-5;-1E-6;-1.1E-7
3.800;-1E-5;-1E-6;-1.3E-7
3.900;-1E-5;-1E-6;-1.5E-7
4.000;-2E-5;-2E-6;-1.7E-7
4.100;-1E-5;-1E-6;-1.5E-7
4.200;-1E-5;-1E-6;-1.4E-7
4.300;-2E-5;-2E-6;-1.5E-7
4.400;-8E-6;-8E-7;-8.2E-8
4.500;-1E-5;-1E-6;-1.1E-7
4.600;-1E-5;-1E-6;-1.3E-7
4.700;-1E-5;-1E-6;-1.2E-7
4.800;-1E-5;-1E-6;-1.4E-7
4.900;-1E-5;-1E-6;-1.0E-7
5.000;-8E-6;-8E-7;-7.8E-8
5.100;-7E-6;-7E-7;-6.7E-8
5.200;-1E-5;-1E-6;-1.1E-7
5.300;-1E-5;-1E-6;-1.0E-7
5.400;-7E-6;-7E-7;-7.1E-8
5.500;-9E-6;-9E-7;-8.8E-8
5.600;-1E-5;-1E-6;-9.8E-8
5.700;-1E-5;-1E-6;-1.5E-7
5.800;-1E-5;-1E-6;-1.3E-7
5.900;-1E-5;-1E-6;-9.9E-8
6.000;-2E-5;-2E-6;-1.5E-7
6.100;-1E-5;-1E-6;-1.4E-7
6.200;-1E-5;-1E-6;-1.3E-7
6.300;-2E-5;-2E-6;-1.6E-7
6.400;-2E-5;-2E-6;-1.7E-7
6.500;-2E-5;-2E-6;-1.6E-7
6.600;-2E-5;-2E-6;-1.9E-7
6.700;-2E-5;-2E-6;-1.6E-7
6.800;-1E-5;-1E-6;-1.3E-7
6.900;-1E-5;-1E-6;-1.4E-7
7.000;-1E-5;-1E-6;-1.5E-7
7.100;-1E-5;-1E-6;-1.2E-7
7.200;-1E-5;-1E-6;-1.5E-7
7.300;-2E-5;-2E-6;-1.8E-7
7.400;-2E-5;-2E-6;-1.8E-7
7.500;-2E-5;-2E-6;-1.7E-7
7.600;-1E-5;-1E-6;-1.2E-7
7.700;-1E-5;-1E-6;-1.4E-7
7.800;-1E-5;-1E-6;-1.1E-7
7.900;-1E-5;-1E-6;-1.4E-7
8.000;-2E-5;-2E-6;-1.6E-7
8.100;-1E-5;-1E-6;-1.3E-7
8.200;-2E-5;-2E-6;-1.6E-7
8.300;-2E-5;-2E-6;-1.5E-7
8.400;-2E-5;-2E-6;-1.5E-7
8.500;-2E-5;-2E-6;-2.0E-7
8.600;-2E-5;-2E-6;-1.7E-7
8.700;-1E-5;-1E-6;-1.3E-7
8.800;-2E-5;-2E-6;-1.7E-7
8.900;-2E-5;-2E-6;-1.7E-7
9.000;-2E-5;-2E-6;-1.6E-7
9.100;-1E-5;-1E-6;-1.5E-7
9.200;-2E-5;-2E-6;-1.7E-7
9.300;-1E-5;-1E-6;-1.0E-7
9.400;-1E-5;-1E-6;-1.2E-7
9.500;-2E-5;-2E-6;-1.6E-7
9.600;-1E-5;-1E-6;-1.4E-7
9.700;-1E-5;-1E-6;-1.2E-7
9.800;-8E-6;-8E-7;-7.5E-8
9.900;-1E-5;-1E-6;-1.2E-7
10.000;-1E-5;-1E-6;-1.1E-7
10.100;-8E-6;-8E-7;-7.8E-8
10.200;-9E-6;-9E-7;-8.9E-8
10.300;-7E-6;-7E-7;-6.9E-8
